,0
AGE,5.375778073822421
Bạn đi với,0.9823372142428497
Visiting time,0.9787961779869995
sex,0.501696810035393
Desired amount,1.2972798928662699
Di Tích Lịch Sử,0.3238001580397118
Món ăn ngon,0.4993682878083939
Trải nghiệm mới,0.4592462829540903
Vẻ đẹp thiên,0.5
